[Sun Jan 21 02:58:51.937286 2018] [:error] [pid 1302] [client 127.0.0.1:52690] PHP Fatal error:  Uncaught ReflectionException: Class config does not exist in /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php:752\nStack trace:\n#0 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(752): ReflectionClass->__construct('config')\n#1 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(631): Illuminate\\Container\\Container->build('config')\n#2 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(586): Illuminate\\Container\\Container->resolve('config', Array)\n#3 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Foundation/Application.php(732): Illuminate\\Container\\Container->make('config', Array)\n#4 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Foundation/helpers.php(110): Illuminate\\Foundation\\Application->make('config', Array)\n#5 /home/ali/PhpstormProjects/basket/vendor/laravel/fram in /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 752, referer: http://basket.local/register
[Sun Jan 21 02:58:59.062963 2018] [:error] [pid 1301] [client 127.0.0.1:52692] PHP Fatal error:  Uncaught ReflectionException: Class config does not exist in /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php:752\nStack trace:\n#0 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(752): ReflectionClass->__construct('config')\n#1 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(631): Illuminate\\Container\\Container->build('config')\n#2 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(586): Illuminate\\Container\\Container->resolve('config', Array)\n#3 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Foundation/Application.php(732): Illuminate\\Container\\Container->make('config', Array)\n#4 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Foundation/helpers.php(110): Illuminate\\Foundation\\Application->make('config', Array)\n#5 /home/ali/PhpstormProjects/basket/vendor/laravel/fram in /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 752
[Sun Jan 21 02:59:01.286894 2018] [:error] [pid 11588] [client 127.0.0.1:52714] PHP Fatal error:  Uncaught ReflectionException: Class config does not exist in /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php:752\nStack trace:\n#0 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(752): ReflectionClass->__construct('config')\n#1 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(631): Illuminate\\Container\\Container->build('config')\n#2 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(586): Illuminate\\Container\\Container->resolve('config', Array)\n#3 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Foundation/Application.php(732): Illuminate\\Container\\Container->make('config', Array)\n#4 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Foundation/helpers.php(110): Illuminate\\Foundation\\Application->make('config', Array)\n#5 /home/ali/PhpstormProjects/basket/vendor/laravel/fram in /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 752
[Sun Jan 21 02:59:20.537426 2018] [:error] [pid 11455] [client 127.0.0.1:52734] PHP Fatal error:  Uncaught ReflectionException: Class config does not exist in /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php:752\nStack trace:\n#0 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(752): ReflectionClass->__construct('config')\n#1 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(631): Illuminate\\Container\\Container->build('config')\n#2 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(586): Illuminate\\Container\\Container->resolve('config', Array)\n#3 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Foundation/Application.php(732): Illuminate\\Container\\Container->make('config', Array)\n#4 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Foundation/helpers.php(110): Illuminate\\Foundation\\Application->make('config', Array)\n#5 /home/ali/PhpstormProjects/basket/vendor/laravel/fram in /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 752
[Sun Jan 21 02:59:21.203587 2018] [:error] [pid 1303] [client 127.0.0.1:52736] PHP Fatal error:  Uncaught ReflectionException: Class config does not exist in /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php:752\nStack trace:\n#0 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(752): ReflectionClass->__construct('config')\n#1 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(631): Illuminate\\Container\\Container->build('config')\n#2 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(586): Illuminate\\Container\\Container->resolve('config', Array)\n#3 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Foundation/Application.php(732): Illuminate\\Container\\Container->make('config', Array)\n#4 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Foundation/helpers.php(110): Illuminate\\Foundation\\Application->make('config', Array)\n#5 /home/ali/PhpstormProjects/basket/vendor/laravel/fram in /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 752
[Sun Jan 21 02:59:27.634097 2018] [:error] [pid 1302] [client 127.0.0.1:52740] PHP Fatal error:  Uncaught ReflectionException: Class config does not exist in /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php:752\nStack trace:\n#0 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(752): ReflectionClass->__construct('config')\n#1 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(631): Illuminate\\Container\\Container->build('config')\n#2 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(586): Illuminate\\Container\\Container->resolve('config', Array)\n#3 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Foundation/Application.php(732): Illuminate\\Container\\Container->make('config', Array)\n#4 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Foundation/helpers.php(110): Illuminate\\Foundation\\Application->make('config', Array)\n#5 /home/ali/PhpstormProjects/basket/vendor/laravel/fram in /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 752
[Sun Jan 21 02:59:27.924121 2018] [:error] [pid 1301] [client 127.0.0.1:52742] PHP Fatal error:  Uncaught ReflectionException: Class config does not exist in /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php:752\nStack trace:\n#0 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(752): ReflectionClass->__construct('config')\n#1 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(631): Illuminate\\Container\\Container->build('config')\n#2 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(586): Illuminate\\Container\\Container->resolve('config', Array)\n#3 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Foundation/Application.php(732): Illuminate\\Container\\Container->make('config', Array)\n#4 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Foundation/helpers.php(110): Illuminate\\Foundation\\Application->make('config', Array)\n#5 /home/ali/PhpstormProjects/basket/vendor/laravel/fram in /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 752
[Sun Jan 21 02:59:28.197340 2018] [:error] [pid 11582] [client 127.0.0.1:52744] PHP Fatal error:  Uncaught ReflectionException: Class config does not exist in /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php:752\nStack trace:\n#0 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(752): ReflectionClass->__construct('config')\n#1 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(631): Illuminate\\Container\\Container->build('config')\n#2 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(586): Illuminate\\Container\\Container->resolve('config', Array)\n#3 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Foundation/Application.php(732): Illuminate\\Container\\Container->make('config', Array)\n#4 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Foundation/helpers.php(110): Illuminate\\Foundation\\Application->make('config', Array)\n#5 /home/ali/PhpstormProjects/basket/vendor/laravel/fram in /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 752
[Sun Jan 21 02:59:34.901265 2018] [:error] [pid 11587] [client 127.0.0.1:52750] PHP Fatal error:  Uncaught ReflectionException: Class config does not exist in /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php:752\nStack trace:\n#0 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(752): ReflectionClass->__construct('config')\n#1 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(631): Illuminate\\Container\\Container->build('config')\n#2 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(586): Illuminate\\Container\\Container->resolve('config', Array)\n#3 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Foundation/Application.php(732): Illuminate\\Container\\Container->make('config', Array)\n#4 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Foundation/helpers.php(110): Illuminate\\Foundation\\Application->make('config', Array)\n#5 /home/ali/PhpstormProjects/basket/vendor/laravel/fram in /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 752
[Sun Jan 21 02:59:46.709094 2018] [:error] [pid 11588] [client 127.0.0.1:52752] PHP Fatal error:  Uncaught ReflectionException: Class config does not exist in /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php:752\nStack trace:\n#0 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(752): ReflectionClass->__construct('config')\n#1 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(631): Illuminate\\Container\\Container->build('config')\n#2 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(586): Illuminate\\Container\\Container->resolve('config', Array)\n#3 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Foundation/Application.php(732): Illuminate\\Container\\Container->make('config', Array)\n#4 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Foundation/helpers.php(110): Illuminate\\Foundation\\Application->make('config', Array)\n#5 /home/ali/PhpstormProjects/basket/vendor/laravel/fram in /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 752
[Sun Jan 21 03:02:35.846545 2018] [:error] [pid 14012] [client 127.0.0.1:52902] PHP Fatal error:  Uncaught ReflectionException: Class config does not exist in /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php:752\nStack trace:\n#0 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(752): ReflectionClass->__construct('config')\n#1 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(631): Illuminate\\Container\\Container->build('config')\n#2 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(586): Illuminate\\Container\\Container->resolve('config', Array)\n#3 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Foundation/Application.php(732): Illuminate\\Container\\Container->make('config', Array)\n#4 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Foundation/helpers.php(110): Illuminate\\Foundation\\Application->make('config', Array)\n#5 /home/ali/PhpstormProjects/basket/vendor/laravel/fram in /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 752
[Sun Jan 21 03:02:35.846620 2018] [:error] [pid 14011] [client 127.0.0.1:52900] PHP Fatal error:  Uncaught ReflectionException: Class config does not exist in /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php:752\nStack trace:\n#0 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(752): ReflectionClass->__construct('config')\n#1 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(631): Illuminate\\Container\\Container->build('config')\n#2 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php(586): Illuminate\\Container\\Container->resolve('config', Array)\n#3 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Foundation/Application.php(732): Illuminate\\Container\\Container->make('config', Array)\n#4 /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Foundation/helpers.php(110): Illuminate\\Foundation\\Application->make('config', Array)\n#5 /home/ali/PhpstormProjects/basket/vendor/laravel/fram in /home/ali/PhpstormProjects/basket/vendor/laravel/framework/src/Illuminate/Container/Container.php on line 752
